catalogue_obsid|catalogue_obsdate|catalogue_lmjd|catalogue_mjd|catalogue_planid|catalogue_spid|catalogue_fiberid|catalogue_class|catalogue_subclass|catalogue_z|catalogue_ra|catalogue_dec|stellar_teff|stellar_logg|stellar_feh|stellar_rv|obsfits_file
557908076|2017-03-26|57839|57838|HD112914S042705M01|8|76|QSO|Non|1.4217800000|173.6841785000|-4.6321340000|||||20170326/HD112914S042705M01/spec-57839-HD112914S042705M01_sp08-076.fits.gz
557908151|2017-03-26|57839|57838|HD112914S042705M01|8|151|QSO|Non|0.5962240000|172.6438263000|-5.3522058000|||||20170326/HD112914S042705M01/spec-57839-HD112914S042705M01_sp08-151.fits.gz
557908160|2017-03-26|57839|57838|HD112914S042705M01|8|160|QSO|Non|2.8787600000|172.7744000000|-5.0195480000|||||20170326/HD112914S042705M01/spec-57839-HD112914S042705M01_sp08-160.fits.gz
557908164|2017-03-26|57839|57838|HD112914S042705M01|8|164|QSO|Non|2.4405400000|172.6191656000|-5.1296799000|||||20170326/HD112914S042705M01/spec-57839-HD112914S042705M01_sp08-164.fits.gz
557908193|2017-03-26|57839|57838|HD112914S042705M01|8|193|QSO|Non|2.3549400000|172.6570633000|-5.6118371000|||||20170326/HD112914S042705M01/spec-57839-HD112914S042705M01_sp08-193.fits.gz
557908198|2017-03-26|57839|57838|HD112914S042705M01|8|198|QSO|Non|0.4320820000|172.6775086000|-5.5829033000|||||20170326/HD112914S042705M01/spec-57839-HD112914S042705M01_sp08-198.fits.gz
557908204|2017-03-26|57839|57838|HD112914S042705M01|8|204|QSO|Non|2.6818200000|172.6769795000|-5.7867823000|||||20170326/HD112914S042705M01/spec-57839-HD112914S042705M01_sp08-204.fits.gz
557908213|2017-03-26|57839|57838|HD112914S042705M01|8|213|QSO|Non|3.0149700000|172.7756867000|-5.9296496000|||||20170326/HD112914S042705M01/spec-57839-HD112914S042705M01_sp08-213.fits.gz
557908234|2017-03-26|57839|57838|HD112914S042705M01|8|234|QSO|Non|1.6355200000|173.1161000000|-4.7269650000|||||20170326/HD112914S042705M01/spec-57839-HD112914S042705M01_sp08-234.fits.gz
557908235|2017-03-26|57839|57838|HD112914S042705M01|8|235|QSO|Non|1.4072800000|173.0793490000|-4.8731485000|||||20170326/HD112914S042705M01/spec-57839-HD112914S042705M01_sp08-235.fits.gz
557914097|2017-03-26|57839|57838|HD112914S042705M01|14|97|QSO|Non|0.2459200000|171.0074500000|-3.5534932000|||||20170326/HD112914S042705M01/spec-57839-HD112914S042705M01_sp14-097.fits.gz
557911195|2017-03-26|57839|57838|HD112914S042705M01|11|195|QSO|Non|0.0983000000|172.3496203000|-2.5142590000|||||20170326/HD112914S042705M01/spec-57839-HD112914S042705M01_sp11-195.fits.gz
557914108|2017-03-26|57839|57838|HD112914S042705M01|14|108|QSO|Non|1.7739260000|170.3592336000|-3.5393868000|||||20170326/HD112914S042705M01/spec-57839-HD112914S042705M01_sp14-108.fits.gz
557908156|2017-03-26|57839|57838|HD112914S042705M01|8|156|QSO|Non|1.6883100000|172.7847193000|-5.0823696000|||||20170326/HD112914S042705M01/spec-57839-HD112914S042705M01_sp08-156.fits.gz
557908150|2017-03-26|57839|57838|HD112914S042705M01|8|150|QSO|Non|1.4572000000|173.3062489000|-5.1830544000|||||20170326/HD112914S042705M01/spec-57839-HD112914S042705M01_sp08-150.fits.gz
557914144|2017-03-26|57839|57838|HD112914S042705M01|14|144|QSO|Non|2.1616400000|170.6157283000|-3.4658553000|||||20170326/HD112914S042705M01/spec-57839-HD112914S042705M01_sp14-144.fits.gz
557908013|2017-03-26|57839|57838|HD112914S042705M01|8|13|QSO|Non|2.3760400000|172.8753476000|-5.3994446000|||||20170326/HD112914S042705M01/spec-57839-HD112914S042705M01_sp08-013.fits.gz
557901043|2017-03-26|57839|57838|HD112914S042705M01|1|43|QSO|Non|0.8382580000|171.8001000000|-6.6817580000|||||20170326/HD112914S042705M01/spec-57839-HD112914S042705M01_sp01-043.fits.gz
557901005|2017-03-26|57839|57838|HD112914S042705M01|1|5|QSO|Non|1.8295700000|172.5052000000|-6.8984070000|||||20170326/HD112914S042705M01/spec-57839-HD112914S042705M01_sp01-005.fits.gz
557907060|2017-03-26|57839|57838|HD112914S042705M01|7|60|QSO|Non|1.5815820000|173.4581000000|-5.9651180000|||||20170326/HD112914S042705M01/spec-57839-HD112914S042705M01_sp07-060.fits.gz
557907017|2017-03-26|57839|57838|HD112914S042705M01|7|17|QSO|Non|2.2241020000|173.2232000000|-6.1836800000|||||20170326/HD112914S042705M01/spec-57839-HD112914S042705M01_sp07-017.fits.gz
557911243|2017-03-26|57839|57838|HD112914S042705M01|11|243|QSO|Non|0.7816060000|172.5685000000|-2.8187909000|||||20170326/HD112914S042705M01/spec-57839-HD112914S042705M01_sp11-243.fits.gz
557911146|2017-03-26|57839|57838|HD112914S042705M01|11|146|QSO|Non|1.7571620000|172.1659425000|-1.9911491000|||||20170326/HD112914S042705M01/spec-57839-HD112914S042705M01_sp11-146.fits.gz
557911071|2017-03-26|57839|57838|HD112914S042705M01|11|71|QSO|Non|2.1609670000|173.0732500000|-2.6022121000|||||20170326/HD112914S042705M01/spec-57839-HD112914S042705M01_sp11-071.fits.gz
557911090|2017-03-26|57839|57838|HD112914S042705M01|11|90|QSO|Non|0.1403600000|172.1461356000|-2.7328138000|||||20170326/HD112914S042705M01/spec-57839-HD112914S042705M01_sp11-090.fits.gz
557911086|2017-03-26|57839|57838|HD112914S042705M01|11|86|QSO|Non|0.8018640000|172.0514800000|-2.9147319000|||||20170326/HD112914S042705M01/spec-57839-HD112914S042705M01_sp11-086.fits.gz
557911080|2017-03-26|57839|57838|HD112914S042705M01|11|80|QSO|Non|1.4132700000|172.2360636000|-2.8922182000|||||20170326/HD112914S042705M01/spec-57839-HD112914S042705M01_sp11-080.fits.gz
557911061|2017-03-26|57839|57838|HD112914S042705M01|11|61|QSO|Non|0.8813460000|172.8890735000|-2.6666368000|||||20170326/HD112914S042705M01/spec-57839-HD112914S042705M01_sp11-061.fits.gz
557911042|2017-03-26|57839|57838|HD112914S042705M01|11|42|QSO|Non|1.8000000000|172.9969600000|-2.1836856000|||||20170326/HD112914S042705M01/spec-57839-HD112914S042705M01_sp11-042.fits.gz
557911075|2017-03-26|57839|57838|HD112914S042705M01|11|75|QSO|Non|1.2484300000|172.9220500000|-2.5899004000|||||20170326/HD112914S042705M01/spec-57839-HD112914S042705M01_sp11-075.fits.gz
557911077|2017-03-26|57839|57838|HD112914S042705M01|11|77|QSO|Non|0.5773630000|172.1251504000|-2.9057573000|||||20170326/HD112914S042705M01/spec-57839-HD112914S042705M01_sp11-077.fits.gz
557911113|2017-03-26|57839|57838|HD112914S042705M01|11|113|QSO|Non|0.0984070000|172.9644038000|-2.5279331000|||||20170326/HD112914S042705M01/spec-57839-HD112914S042705M01_sp11-113.fits.gz
557911125|2017-03-26|57839|57838|HD112914S042705M01|11|125|QSO|Non|0.3655200000|172.7063884000|-2.3744430000|||||20170326/HD112914S042705M01/spec-57839-HD112914S042705M01_sp11-125.fits.gz
557911160|2017-03-26|57839|57838|HD112914S042705M01|11|160|QSO|Non|0.0185420000|172.0183873000|-2.0124910000|||||20170326/HD112914S042705M01/spec-57839-HD112914S042705M01_sp11-160.fits.gz
557908046|2017-03-26|57839|57838|HD112914S042705M01|8|46|QSO|Non|-9999.0000000000|173.1961808000|-4.6017873000|||||20170326/HD112914S042705M01/spec-57839-HD112914S042705M01_sp08-046.fits.gz
558107089|2017-03-26|57839|57838|HD152148N325601M02|7|89|QSO|Non|1.9785300000|232.4461123000|31.3096531000|||||20170326/HD152148N325601M02/spec-57839-HD152148N325601M02_sp07-089.fits.gz
558114063|2017-03-26|57839|57838|HD152148N325601M02|14|63|QSO|Non|1.3304200000|228.5757000000|33.1653800000|||||20170326/HD152148N325601M02/spec-57839-HD152148N325601M02_sp14-063.fits.gz
558114170|2017-03-26|57839|57838|HD152148N325601M02|14|170|QSO|Non|2.1901780000|228.7153600000|33.2844830000|||||20170326/HD152148N325601M02/spec-57839-HD152148N325601M02_sp14-170.fits.gz
558114123|2017-03-26|57839|57838|HD152148N325601M02|14|123|QSO|Non|2.5942000000|227.6700403000|33.5854312000|||||20170326/HD152148N325601M02/spec-57839-HD152148N325601M02_sp14-123.fits.gz
558115026|2017-03-26|57839|57838|HD152148N325601M02|15|26|QSO|Non|0.0316400000|230.3301190000|34.2962610000|||||20170326/HD152148N325601M02/spec-57839-HD152148N325601M02_sp15-026.fits.gz
558107199|2017-03-26|57839|57838|HD152148N325601M02|7|199|QSO|Non|1.2400000000|232.1400800000|31.6785260000|||||20170326/HD152148N325601M02/spec-57839-HD152148N325601M02_sp07-199.fits.gz
558102152|2017-03-26|57839|57838|HD152148N325601M02|2|152|QSO|Non|0.5153590000|228.1147366000|31.6759670000|||||20170326/HD152148N325601M02/spec-57839-HD152148N325601M02_sp02-152.fits.gz
558107053|2017-03-26|57839|57838|HD152148N325601M02|7|53|QSO|Non|1.4700000000|232.2267300000|31.4911900000|||||20170326/HD152148N325601M02/spec-57839-HD152148N325601M02_sp07-053.fits.gz
558102129|2017-03-26|57839|57838|HD152148N325601M02|2|129|QSO|Non|0.1023700000|228.9435129000|31.3572420000|||||20170326/HD152148N325601M02/spec-57839-HD152148N325601M02_sp02-129.fits.gz
558114051|2017-03-26|57839|57838|HD152148N325601M02|14|51|QSO|Non|2.1000000000|228.5675900000|33.1086380000|||||20170326/HD152148N325601M02/spec-57839-HD152148N325601M02_sp14-051.fits.gz
558107030|2017-03-26|57839|57838|HD152148N325601M02|7|30|QSO|Non|1.7813600000|231.2269670000|31.2726212000|||||20170326/HD152148N325601M02/spec-57839-HD152148N325601M02_sp07-030.fits.gz
558114209|2017-03-26|57839|57838|HD152148N325601M02|14|209|QSO|Non|0.0598970000|228.2190071000|33.5299053000|||||20170326/HD152148N325601M02/spec-57839-HD152148N325601M02_sp14-209.fits.gz
558115038|2017-03-26|57839|57838|HD152148N325601M02|15|38|QSO|Non|1.0649100000|230.6822596000|34.3748552000|||||20170326/HD152148N325601M02/spec-57839-HD152148N325601M02_sp15-038.fits.gz
